species	pu	amount
10	284	3940000
10	285	3940000
10	286	3940000
10	287	3930000
10	288	3950000
10	289	3940000
10	290	3940000
10	291	3940000
10	292	3940000
10	293	3940000
10	294	3940000
10	295	3940000
10	296	3930000
10	297	3940000
10	298	3950000
10	299	3940000
10	300	3940000
9	301	380000
10	301	3560000
9	302	1370000
10	302	1960000
13	302	610000
10	303	1080000
13	303	2420000
14	303	440000
15	303	2610000
13	304	3940000
15	304	3930000
4	305	820000
6	305	140000
11	305	2830000
13	305	150000
15	305	3940000
4	306	3560000
11	306	380000
15	306	3940000
4	307	3950000
15	307	3940000
19	307	30000
1	308	480000
4	308	3460000
15	308	3940000
19	308	3930000
1	309	40000
19	309	1440000
1	310	60000
10	311	3940000
10	312	3940000
10	313	3940000
10	314	3940000
10	315	3930000
10	316	3940000
10	317	3940000
10	318	3940000
10	319	3940000
10	320	3940000
10	321	3940000
10	322	3930000
10	323	3930000
10	324	3940000
10	325	3940000
10	326	3940000
10	327	3940000
10	328	3940000
10	329	3940000
10	330	3930000
10	331	3940000
10	332	3940000
10	333	3940000
10	334	3950000
10	335	3940000
10	336	3940000
10	337	3940000
10	338	3930000
9	339	140000
10	339	3800000
9	340	3460000
10	340	290000
13	340	190000
9	341	370000
10	341	540000
13	341	2920000
14	341	110000
13	342	3940000
15	342	3120000
4	343	350000
6	343	320000
11	343	1020000
13	343	2250000
15	343	3940000
4	344	1270000
11	344	2680000
15	344	3940000
4	345	3450000
11	345	480000
15	345	3940000
19	345	1810000
1	346	60000
4	346	3880000
15	346	3930000
19	346	3710000
1	347	1020000
15	347	730000
19	347	3940000
10	348	3400000
10	349	4080000
10	350	4070000
10	351	4050000
10	352	4050000
10	353	4070000
10	354	4070000
10	355	4060000
10	356	4060000
10	357	4060000
10	358	4070000
10	359	4070000
10	360	4050000
10	361	4060000
10	362	4070000
10	363	4070000
10	364	4060000
10	365	4050000
10	366	4070000
10	367	4070000
10	368	4070000
10	369	4050000
10	370	4050000
10	371	4070000
10	372	4070000
10	373	4060000
10	374	4050000
10	375	4070000
10	376	4070000
9	377	4060000
9	378	170000
13	378	3880000
13	379	4060000
6	380	30000
13	380	4040000
15	380	3570000
4	381	2960000
11	381	1110000
15	381	4070000
1	382	10000
4	382	2570000
11	382	1480000
15	382	4050000
19	382	440000
1	383	20000
4	383	4030000
15	383	4050000
19	383	3930000
1	384	1720000
4	384	2020000
15	384	3940000
19	384	4060000
1	385	450000
4	385	50000
15	385	520000
19	385	3970000
1	386	170000
10	387	4060000
10	388	4050000
10	389	4060000
10	390	4070000
10	391	4070000
10	392	4050000
10	393	4060000
10	394	4070000
10	395	4070000
10	396	4060000
10	397	4050000
10	398	4070000
10	399	4080000
10	400	4060000
10	401	4050000
10	402	4060000
10	403	4070000
10	404	4060000
10	405	4060000
10	406	4060000
10	407	4070000
10	408	4070000
10	409	4060000
10	410	4050000
10	411	4060000
10	412	4070000
10	413	4060000
10	414	4060000
9	415	2480000
10	415	1580000
9	416	1670000
13	416	2400000
13	417	4070000
13	418	4060000
4	419	2020000
6	419	280000
11	419	920000
13	419	830000
15	419	3750000
1	420	40000
4	420	4010000
15	420	4060000
19	420	310000
1	421	40000
4	421	4030000
15	421	4070000
19	421	4050000
1	422	250000
4	422	3820000
15	422	4070000
19	422	4070000
1	423	1260000
4	423	2480000
15	423	3710000
19	423	4060000
1	424	40000
19	424	1570000
1	425	290000
4	425	590000
11	425	300000
10	426	3270000
10	427	3930000
10	428	3940000
10	429	3950000
10	430	3940000
10	431	3940000
10	432	3940000
10	433	3940000
10	434	3940000
10	435	3940000
10	436	3940000
10	437	3940000
10	438	3940000
10	439	3940000
10	440	3940000
10	441	3940000
10	442	3930000
10	443	3950000
10	444	3940000
10	445	3940000
10	446	3940000
10	447	3940000
10	448	3950000
10	449	3940000
10	450	3930000
10	451	3940000
10	452	3950000
10	453	3940000
7	454	910000
10	454	3020000
9	455	1730000
10	455	50000
13	455	2170000
13	456	3940000
13	457	3940000
13	458	3940000
15	458	40000
4	459	3480000
11	459	460000
15	459	3860000
1	460	1450000
4	460	2490000
15	460	3950000
16	460	110000
19	460	3930000
1	461	990000
4	461	2910000
15	461	3940000
19	461	3950000
1	462	1130000
4	462	2800000
15	462	3910000
19	462	3940000
1	463	810000
4	463	1580000
11	463	200000
15	463	140000
19	463	3860000
1	464	140000
4	464	800000
11	464	740000
10	466	3940000
10	467	3940000
10	468	3940000
10	469	3930000
10	470	3950000
10	471	3930000
10	472	3940000
10	473	3940000
10	474	3940000
10	475	3940000
10	476	3940000
10	477	3940000
10	478	3930000
10	479	3940000
10	480	3940000
10	481	3940000
10	482	3940000
10	483	3940000
10	484	3940000
10	485	3930000
10	486	3940000
10	487	3940000
10	488	3940000
10	489	3940000
10	490	3940000
10	491	3940000
10	492	3930000
7	493	2120000
10	493	1830000
9	494	590000
10	494	3340000
13	495	3940000
13	496	3940000
13	497	3940000
4	498	1720000
11	498	1340000
13	498	880000
15	498	150000
1	499	1280000
4	499	2670000
15	499	3940000
16	499	20000
19	499	550000
1	500	2180000
4	500	1140000
15	500	2450000
16	500	190000
19	500	3940000
1	501	2330000
4	501	1590000
15	501	3940000
19	501	3930000
1	502	420000
15	502	120000
16	502	10000
19	502	2040000
1	503	310000
4	503	1080000
11	503	760000
19	503	1530000
3	505	70000
6	505	40000
13	505	20000
17	505	220000
10	506	3400000
10	507	4080000
10	508	4060000
10	509	4050000
10	510	4050000
10	511	4070000
10	512	4070000
10	513	4060000
10	514	4060000
10	515	4060000
10	516	4070000
10	517	4070000
10	518	4050000
10	519	4050000
10	520	4060000
10	521	4080000
10	522	4060000
10	523	4060000
10	524	4060000
10	525	4070000
10	526	4070000
10	527	4050000
10	528	4050000
10	529	4070000
10	530	4080000
10	531	4060000
10	532	4050000
10	533	4070000
7	534	3340000
9	534	40000
10	534	190000
13	534	500000
9	535	360000
13	535	3710000
13	536	4040000
13	537	4060000
13	538	4070000
1	539	10000
4	539	4050000
11	539	10000
15	539	420000
1	540	3140000
4	540	110000
15	540	2710000
16	540	600000
19	540	4060000
1	541	2040000
4	541	30000
15	541	1400000
16	541	10000
19	541	3480000
1	542	2710000
4	542	130000
15	542	3160000
19	542	3490000
4	543	130000
19	543	2370000
4	544	80000
3	545	420000
6	545	140000
9	545	140000
13	545	1370000
17	545	2490000
10	546	4060000
10	547	4050000
10	548	4070000
10	549	4070000
10	550	4070000
10	551	4050000
10	552	4070000
10	553	4060000
10	554	4070000
10	555	4060000
10	556	4050000
