id1	id2	boundary
1	1	1241
1	39	1241
1	40	1241
1	77	1241
2	2	1241
2	40	1241
2	41	1241
2	78	1241
3	3	1241
3	41	1241
3	42	1241
3	79	1241
4	4	1241
4	42	1241
4	43	1241
4	80	1241
5	5	1241
5	43	1241
5	44	1241
5	81	1241
6	6	1241
6	44	1241
6	45	1241
6	82	1241
7	7	1241
7	45	1241
7	46	1241
7	83	1241
8	8	1241
8	46	1241
8	47	1241
8	84	1241
9	9	1241
9	47	1241
9	48	1241
9	85	1241
10	10	1241
10	48	1241
10	49	1241
10	86	1241
11	11	1241
11	49	1241
11	50	1241
11	87	1241
12	12	1241
12	50	1241
12	51	1241
12	88	1241
13	13	1241
13	51	1241
13	52	1241
13	89	1241
14	14	1241
14	52	1241
14	53	1241
14	90	1241
15	15	1241
15	53	1241
15	54	1241
15	91	1241
16	16	1241
16	54	1241
16	55	1241
16	92	1241
17	17	1241
17	55	1241
17	56	1241
17	93	1241
18	18	1241
18	56	1241
18	57	1241
18	94	1241
19	19	1241
19	57	1241
19	58	1241
19	95	1241
20	20	1241
20	58	1241
20	59	1241
20	96	1241
21	21	1241
21	59	1241
21	60	1241
21	97	1241
22	22	1241
22	60	1241
22	61	1241
22	98	1241
23	23	1241
23	61	1241
23	62	1241
23	99	1241
24	24	1241
24	62	1241
24	63	1241
24	100	1241
25	25	1241
25	63	1241
25	64	1241
25	101	1241
26	26	1241
26	64	1241
26	65	1241
26	102	1241
27	27	1241
27	65	1241
27	66	1241
27	103	1241
28	28	1241
28	66	1241
28	67	1241
28	104	1241
29	29	1241
29	67	1241
29	68	1241
29	105	1241
30	30	1241
30	68	1241
30	69	1241
30	106	1241
31	31	1241
31	69	1241
31	70	1241
31	107	1241
32	32	1241
32	70	1241
32	71	1241
32	108	1241
33	33	1241
33	71	1241
33	72	1241
33	109	1241
34	34	1241
34	72	1241
34	73	1241
34	110	1241
35	35	1241
35	73	1241
35	74	1241
35	111	1241
36	36	1241
36	74	1241
36	75	1241
36	112	1241
37	37	1241
37	75	1241
37	76	1241
37	113	1241
38	38	1241
38	76	1241
38	114	1241
39	39	1241
39	77	1241
39	115	1241
40	40	1241
40	77	1241
40	78	1241
40	116	1241
41	41	1241
41	78	1241
41	79	1241
41	117	1241
42	42	1241
42	79	1241
42	80	1241
42	118	1241
43	43	1241
43	80	1241
43	81	1241
43	119	1241
44	44	1241
44	81	1241
44	82	1241
44	120	1241
45	45	1241
45	82	1241
45	83	1241
45	121	1241
46	46	1241
46	83	1241
46	84	1241
46	122	1241
47	47	1241
47	84	1241
47	85	1241
47	123	1241
48	48	1241
48	85	1241
48	86	1241
48	124	1241
49	49	1241
49	86	1241
49	87	1241
49	125	1241
50	50	1241
50	87	1241
50	88	1241
50	126	1241
51	51	1241
51	88	1241
51	89	1241
51	127	1241
52	52	1241
52	89	1241
52	90	1241
52	128	1241
53	53	1241
53	90	1241
53	91	1241
53	129	1241
54	54	1241
54	91	1241
54	92	1241
54	130	1241
55	55	1241
55	92	1241
55	93	1241
55	131	1241
56	56	1241
56	93	1241
56	94	1241
56	132	1241
57	57	1241
57	94	1241
57	95	1241
57	133	1241
58	58	1241
58	95	1241
58	96	1241
58	134	1241
59	59	1241
59	96	1241
59	97	1241
59	135	1241
60	60	1241
60	97	1241
60	98	1241
60	136	1241
61	61	1241
61	98	1241
61	99	1241
61	137	1241
62	62	1241
62	99	1241
62	100	1241
62	138	1241
63	63	1241
63	100	1241
63	101	1241
63	139	1241
64	64	1241
64	101	1241
64	102	1241
64	140	1241
65	65	1241
65	102	1241
65	103	1241
65	141	1241
66	66	1241
66	103	1241
66	104	1241
66	142	1241
67	67	1241
67	104	1241
67	105	1241
67	143	1241
68	68	1241
68	105	1241
68	106	1241
68	144	1241
69	69	1241
69	106	1241
69	107	1241
69	145	1241
70	70	1241
70	107	1241
70	108	1241
70	146	1241
71	71	1241
71	108	1241
71	109	1241
71	147	1241
72	72	1241
72	109	1241
72	110	1241
72	148	1241
73	73	1241
73	110	1241
73	111	1241
73	149	1241
74	74	1241
74	111	1241
74	112	1241
74	150	1241
75	75	1241
75	112	1241
75	113	1241
75	151	1241
76	76	1241
76	113	1241
76	114	1241
76	152	1241
77	115	1241
77	116	1241
77	155	1241
78	116	1241
78	117	1241
78	156	1241
79	117	1241
79	118	1241
79	157	1241
80	118	1241
80	119	1241
80	158	1241
81	119	1241
81	120	1241
81	159	1241
82	120	1241
82	121	1241
82	160	1241
83	121	1241
83	122	1241
83	161	1241
84	122	1241
84	123	1241
84	162	1241
85	123	1241
85	124	1241
85	163	1241
86	124	1241
86	125	1241
86	164	1241
87	125	1241
87	126	1241
87	165	1241
88	126	1241
88	127	1241
88	166	1241
89	127	1241
89	128	1241
89	167	1241
90	128	1241
90	129	1241
90	168	1241
91	129	1241
91	130	1241
91	169	1241
92	130	1241
92	131	1241
92	170	1241
93	131	1241
93	132	1241
93	171	1241
94	132	1241
94	133	1241
94	172	1241
95	133	1241
95	134	1241
95	173	1241
96	134	1241
96	135	1241
96	174	1241
97	135	1241
97	136	1241
97	175	1241
98	136	1241
98	137	1241
98	176	1241
99	137	1241
99	138	1241
99	177	1241
100	138	1241
100	139	1241
100	178	1241
101	139	1241
101	140	1241
101	179	1241
102	140	1241
102	141	1241
102	180	1241
103	141	1241
103	142	1241
103	181	1241
104	142	1241
104	143	1241
104	182	1241
105	143	1241
105	144	1241
105	183	1241
106	144	1241
106	145	1241
106	184	1241
107	145	1241
107	146	1241
107	185	1241
108	146	1241
108	147	1241
108	186	1241
109	147	1241
109	148	1241
109	187	1241
110	148	1241
110	149	1241
110	188	1241
111	149	1241
111	150	1241
111	189	1241
112	150	1241
112	151	1241
112	190	1241
113	151	1241
113	152	1241
113	191	1241
114	114	1241
114	152	1241
114	153	1241
114	192	1241
115	115	1241
115	155	1241
115	194	1241
116	155	1241
116	156	1241
116	195	1241
117	156	1241
117	157	1241
117	196	1241
118	157	1241
118	158	1241
118	197	1241
119	158	1241
119	159	1241
119	198	1241
120	159	1241
120	160	1241
120	199	1241
121	160	1241
121	161	1241
121	200	1241
122	161	1241
122	162	1241
122	201	1241
123	162	1241
123	163	1241
123	202	1241
124	163	1241
124	164	1241
124	203	1241
125	164	1241
125	165	1241
125	204	1241
126	165	1241
126	166	1241
126	205	1241
127	166	1241
127	167	1241
127	206	1241
128	167	1241
128	168	1241
128	207	1241
129	168	1241
129	169	1241
129	208	1241
130	169	1241
130	170	1241
130	209	1241
131	170	1241
131	171	1241
131	210	1241
132	171	1241
132	172	1241
132	211	1241
133	172	1241
133	173	1241
133	212	1241
134	173	1241
134	174	1241
134	213	1241
135	174	1241
135	175	1241
135	214	1241
136	175	1241
136	176	1241
136	215	1241
137	176	1241
137	177	1241
137	216	1241
138	177	1241
138	178	1241
138	217	1241
139	178	1241
139	179	1241
139	218	1241
140	179	1241
140	180	1241
140	219	1241
141	180	1241
141	181	1241
141	220	1241
142	181	1241
142	182	1241
142	221	1241
143	182	1241
143	183	1241
143	222	1241
144	183	1241
144	184	1241
144	223	1241
145	184	1241
145	185	1241
145	224	1241
146	185	1241
146	186	1241
146	225	1241
147	186	1241
147	187	1241
147	226	1241
148	187	1241
148	188	1241
148	227	1241
149	188	1241
149	189	1241
149	228	1241
150	189	1241
150	190	1241
150	229	1241
151	190	1241
151	191	1241
151	230	1241
152	191	1241
152	192	1241
152	231	1241
153	153	1241
153	192	1241
153	193	1241
153	232	1241
154	154	1241
154	193	1241
154	233	1241
155	194	1241
155	195	1241
155	234	1241
156	195	1241
156	196	1241
156	235	1241
157	196	1241
157	197	1241
157	236	1241
158	197	1241
158	198	1241
158	237	1241
159	198	1241
159	199	1241
159	238	1241
160	199	1241
160	200	1241
160	239	1241
161	200	1241
161	201	1241
161	240	1241
162	201	1241
162	202	1241
162	241	1241
163	202	1241
163	203	1241
163	242	1241
164	203	1241
164	204	1241
164	243	1241
165	204	1241
165	205	1241
165	244	1241
166	205	1241
166	206	1241
166	245	1241
167	206	1241
167	207	1241
167	246	1241
168	207	1241
168	208	1241
168	247	1241
169	208	1241
169	209	1241
169	248	1241
170	209	1241
170	210	1241
170	249	1241
171	210	1241
171	211	1241
171	250	1241
172	211	1241
172	212	1241
172	251	1241
173	212	1241
173	213	1241
173	252	1241
174	213	1241
174	214	1241
174	253	1241
175	214	1241
175	215	1241
175	254	1241
176	215	1241
176	216	1241
176	255	1241
177	216	1241
177	217	1241
177	256	1241
178	217	1241
178	218	1241
178	257	1241
179	218	1241
179	219	1241
179	258	1241
180	219	1241
180	220	1241
180	259	1241
181	220	1241
181	221	1241
181	260	1241
182	221	1241
182	222	1241
182	261	1241
183	222	1241
183	223	1241
183	262	1241
184	223	1241
184	224	1241
184	263	1241
