"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,1528.000000,1528.000000,0,1528,0,0,yes,1.000000
19,,1540455000.000000,1540370000.000000,0,573,0,0,no,0.999945
18,,429297000.000000,561430000.000000,0,152,0,0,yes,1.000000
17,,1241586000.000000,1260960000.000000,0,577,0,0,yes,1.000000
16,,48534000.000000,48610000.000000,0,236,0,0,yes,1.000000
15,,1990737000.000000,1990250000.000000,0,580,0,0,no,0.999755
14,,2901000.000000,2860000.000000,0,3,0,0,no,0.985867
13,,3347238000.000000,2940030000.000000,0,1040,0,0,no,0.878345
12,,1080336000.000000,785040000.000000,0,923,0,0,no,0.726663
11,,2150724000.000000,2150450000.000000,0,895,0,0,no,0.999873
10,,2024391000.000000,2023730000.000000,0,513,0,0,no,0.999673
9,,1075698000.000000,988670000.000000,0,374,0,0,no,0.919096
8,,870981000.000000,504370000.000000,0,423,0,0,no,0.579083
7,,136449000.000000,95230000.000000,0,94,0,0,no,0.697916
6,,93306000.000000,93330000.000000,0,245,0,0,yes,1.000000
5,,120753000.000000,132620000.000000,0,488,0,0,yes,1.000000
4,,842415000.000000,827960000.000000,0,559,0,0,no,0.982841
3,,45678000.000000,56780000.000000,0,224,0,0,yes,1.000000
2,,145032000.000000,231730000.000000,0,749,0,0,yes,1.000000
1,,215232000.000000,214280000.000000,0,444,0,0,no,0.995577
