"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,1528.000000,1528.000000,0,1528,0,0,yes,1.000000
19,,1540455000.000000,1540250000.000000,0,576,0,0,no,0.999867
18,,429297000.000000,590130000.000000,0,162,0,0,yes,1.000000
17,,1241586000.000000,1259270000.000000,0,581,0,0,yes,1.000000
16,,48534000.000000,48780000.000000,0,229,0,0,yes,1.000000
15,,1990737000.000000,1990070000.000000,0,583,0,0,no,0.999665
14,,2901000.000000,2420000.000000,0,3,0,0,no,0.834195
13,,3347238000.000000,2954330000.000000,0,1042,0,0,no,0.882617
12,,1080336000.000000,798760000.000000,0,936,0,0,no,0.739363
11,,2150724000.000000,2150940000.000000,0,903,0,0,yes,1.000000
10,,2024391000.000000,2024380000.000000,0,512,0,0,no,0.999995
9,,1075698000.000000,1005080000.000000,0,384,0,0,no,0.934351
8,,870981000.000000,483810000.000000,0,420,0,0,no,0.555477
7,,136449000.000000,92200000.000000,0,90,0,0,no,0.675710
6,,93306000.000000,93310000.000000,0,253,0,0,yes,1.000000
5,,120753000.000000,132800000.000000,0,494,0,0,yes,1.000000
4,,842415000.000000,834240000.000000,0,563,0,0,no,0.990296
3,,45678000.000000,56200000.000000,0,229,0,0,yes,1.000000
2,,145032000.000000,229160000.000000,0,742,0,0,yes,1.000000
1,,215232000.000000,215250000.000000,0,440,0,0,yes,1.000000
