"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,1528.000000,1528.000000,0,1528,0,0,yes,1.000000
19,,1540455000.000000,1540450000.000000,0,572,0,0,no,0.999997
18,,429297000.000000,544220000.000000,0,149,0,0,yes,1.000000
17,,1241586000.000000,1303000000.000000,0,601,0,0,yes,1.000000
16,,48534000.000000,48530000.000000,0,239,0,0,no,0.999918
15,,1990737000.000000,1990610000.000000,0,585,0,0,no,0.999936
14,,2901000.000000,2460000.000000,0,3,0,0,no,0.847983
13,,3347238000.000000,2944160000.000000,0,1037,0,0,no,0.879579
12,,1080336000.000000,812310000.000000,0,945,0,0,no,0.751905
11,,2150724000.000000,2150440000.000000,0,908,0,0,no,0.999868
10,,2024391000.000000,2024390000.000000,0,513,0,0,no,1.000000
9,,1075698000.000000,997280000.000000,0,377,0,0,no,0.927100
8,,870981000.000000,506490000.000000,0,430,0,0,no,0.581517
7,,136449000.000000,86980000.000000,0,96,0,0,no,0.637454
6,,93306000.000000,93310000.000000,0,250,0,0,yes,1.000000
5,,120753000.000000,134350000.000000,0,496,0,0,yes,1.000000
4,,842415000.000000,840510000.000000,0,575,0,0,no,0.997739
3,,45678000.000000,56420000.000000,0,226,0,0,yes,1.000000
2,,145032000.000000,229560000.000000,0,750,0,0,yes,1.000000
1,,215232000.000000,215360000.000000,0,446,0,0,yes,1.000000
