"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,1528.000000,1528.000000,0,1528,0,0,yes,1.000000
19,,1540455000.000000,1539790000.000000,0,566,0,0,no,0.999568
18,,429297000.000000,507830000.000000,0,137,0,0,yes,1.000000
17,,1241586000.000000,1260480000.000000,0,583,0,0,yes,1.000000
16,,48534000.000000,48540000.000000,0,234,0,0,yes,1.000000
15,,1990737000.000000,1990650000.000000,0,582,0,0,no,0.999956
14,,2901000.000000,2870000.000000,0,4,0,0,no,0.989314
13,,3347238000.000000,2891330000.000000,0,1027,0,0,no,0.863796
12,,1080336000.000000,782750000.000000,0,928,0,0,no,0.724543
11,,2150724000.000000,2150700000.000000,0,900,0,0,no,0.999989
10,,2024391000.000000,2022740000.000000,0,511,0,0,no,0.999184
9,,1075698000.000000,1040210000.000000,0,395,0,0,no,0.967009
8,,870981000.000000,505720000.000000,0,432,0,0,no,0.580633
7,,136449000.000000,94140000.000000,0,87,0,0,no,0.689928
6,,93306000.000000,93310000.000000,0,248,0,0,yes,1.000000
5,,120753000.000000,129990000.000000,0,491,0,0,yes,1.000000
4,,842415000.000000,831670000.000000,0,566,0,0,no,0.987245
3,,45678000.000000,59530000.000000,0,223,0,0,yes,1.000000
2,,145032000.000000,234880000.000000,0,747,0,0,yes,1.000000
1,,215232000.000000,214800000.000000,0,460,0,0,no,0.997993
