"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,1528.000000,1528.000000,0,1528,0,0,yes,1.000000
19,,1540455000.000000,1540230000.000000,0,574,0,0,no,0.999854
18,,429297000.000000,557410000.000000,0,151,0,0,yes,1.000000
17,,1241586000.000000,1302730000.000000,0,595,0,0,yes,1.000000
16,,48534000.000000,48630000.000000,0,235,0,0,yes,1.000000
15,,1990737000.000000,1990980000.000000,0,585,0,0,yes,1.000000
14,,2901000.000000,2380000.000000,0,3,0,0,no,0.820407
13,,3347238000.000000,2929170000.000000,0,1039,0,0,no,0.875101
12,,1080336000.000000,800340000.000000,0,929,0,0,no,0.740825
11,,2150724000.000000,2150740000.000000,0,915,0,0,yes,1.000000
10,,2024391000.000000,2021330000.000000,0,510,0,0,no,0.998488
9,,1075698000.000000,1018310000.000000,0,390,0,0,no,0.946650
8,,870981000.000000,486000000.000000,0,419,0,0,no,0.557992
7,,136449000.000000,88730000.000000,0,98,0,0,no,0.650280
6,,93306000.000000,93310000.000000,0,247,0,0,yes,1.000000
5,,120753000.000000,131540000.000000,0,487,0,0,yes,1.000000
4,,842415000.000000,836920000.000000,0,566,0,0,no,0.993477
3,,45678000.000000,54890000.000000,0,223,0,0,yes,1.000000
2,,145032000.000000,226820000.000000,0,744,0,0,yes,1.000000
1,,215232000.000000,214610000.000000,0,459,0,0,no,0.997110
